Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
1.04625,18.19,b1100,2.0925,1.05,b1100
1.04875,18.26,b1100,2.0975,1.22,b1100
1.05125,18.26,b1100,2.1025,1.22,b1100
1.05375,18.4,b1100,2.1075,1.48,b1100
1.05625,18.33,b1100,2.1125,1.05,b1100
1.05875,18.26,b1100,2.1175,1.57,b1100
1.06125,18.47,b1100,2.1225,1.4,b1100
1.06375,18.4,b1100,2.1275,1.57,b1100
1.06625,18.26,b1100,2.1325,1.4,b1100
1.06875,18.33,b1100,2.1375,1.4,b1100
1.07125,18.26,b1100,2.1425,1.22,b1100
1.07375,18.26,b1100,2.1475,1.22,b1100
1.07625,18.33,b1100,2.1525,1.22,b1100
1.07875,18.19,b1100,2.1575,1.22,b1100
1.08125,18.26,b1100,2.1625,1.22,b1100
1.08375,18.19,b1100,2.1675,1.4,b1100
1.08625,18.12,b1100,2.1725,1.4,b1100
1.08875,18.19,b1100,2.1775,0.87,b1100
1.09125,18.19,b1100,2.1825,1.05,b1100
1.09375,18.12,b1100,2.1875,0.7,b1100
1.09625,18.12,b1100,2.1925,1.22,b1100
1.09875,18.05,b1100,2.1975,1.4,b1100
1.10125,18.26,b1100,2.2025,1.83,b1100
1.10375,18.26,b1100,2.2075,1.05,b1100
1.10625,18.33,b1100,2.2125,1.57,b1100
1.10875,18.33,b1100,2.2175,1.48,b1100
1.11125,18.26,b1100,2.2225,1.4,b1100
1.11375,18.19,b1100,2.2275,1.4,b1100
1.11625,18.33,b1100,2.2325,1.4,b1100
1.11875,18.4,b1100,2.2375,1.05,b1100
1.12125,18.19,b1100,2.2425,1.4,b1100
1.12375,18.4,b1100,2.2475,1.22,b1100
1.12625,18.33,b1100,2.2525,0.87,b1100
1.12875,18.33,b1100,2.2575,1.05,b1100
1.13125,18.33,b1100,2.2625,1.13,b1100
1.13375,18.33,b1100,2.2675,2.1,b1100
1.13625,18.4,b1100,2.2725,1.22,b1100
1.13875,18.33,b1100,2.2775,1.48,b1100
1.14125,18.4,b1100,2.2825,1.57,b1100
1.14375,18.19,b1100,2.2875,1.13,b1100
1.14625,18.19,b1100,2.2925,1.05,b1100
1.14875,18.19,b1100,2.2975,0.52,b1100
1.15125,18.12,b1100,2.3025,0.7,b1100
1.15375,18.26,b1100,2.3075,1.05,b1100
1.15625,18.33,b1100,2.3125,0.87,b1100
1.15875,18.4,b1100,2.3175,1.05,b1100
1.16125,18.4,b1100,2.3225,0.87,b1100
